用户位置	车流方向	当前时间打到车的概率	平均等待时间(分钟)	运行时间(秒)
(116.4072199, 39.89164635)	自西向东	2013/9/10 19:25:00	0.93	1.10	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/11 10:36:00	0.99	0.62	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/11 10:41:00	0.99	0.59	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/11 10:46:00	0.99	0.61	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/11 10:51:00	0.99	0.66	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/11 10:56:00	0.98	0.72	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/11 14:25:00	0.98	0.78	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/11 14:30:00	0.99	0.69	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/11 14:35:00	0.98	0.73	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/11 14:40:00	0.98	0.72	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/11 14:45:00	0.99	0.70	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/12 11:47:00	1.00	0.54	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/12 11:52:00	1.00	0.57	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/12 11:57:00	0.99	0.59	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/12 12:02:00	1.00	0.54	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/12 12:07:00	0.99	0.57	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/14 11:52:00	0.99	0.58	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/14 11:57:00	0.99	0.57	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/14 12:02:00	1.00	0.51	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/14 12:07:00	1.00	0.53	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/14 12:12:00	1.00	0.54	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/15 10:08:00	0.74	2.25	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/15 10:13:00	0.86	1.50	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/15 10:18:00	0.74	2.25	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/15 10:23:00	0.49	4.50	0.000
(116.4072199, 39.89164635)	自西向东	2013/9/15 10:28:00	0.49	4.50	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/10 22:00:00	0.79	1.94	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/10 22:05:00	0.78	2.00	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/10 22:10:00	0.82	1.77	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/10 22:15:00	0.75	2.18	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/10 22:20:00	0.72	2.33	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/11 20:12:00	0.77	2.04	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/11 20:17:00	0.77	2.02	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/11 20:22:00	0.77	2.02	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/11 20:27:00	0.72	2.36	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/11 20:32:00	0.71	2.44	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/11 9:11:00	0.79	1.90	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/11 9:16:00	0.80	1.85	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/11 9:21:00	0.78	1.96	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/11 9:26:00	0.77	2.06	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/11 9:31:00	0.79	1.90	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/13 9:25:00	0.77	2.06	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/13 9:30:00	0.79	1.90	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/13 9:35:00	0.82	1.72	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/13 9:40:00	0.80	1.87	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/13 9:45:00	0.81	1.82	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/15 11:10:00	0.74	2.25	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/15 11:15:00	0.81	1.80	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/15 11:20:00	0.74	2.25	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/15 11:25:00	0.49	4.50	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/15 11:30:00	0.28	9.00	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/14 18:20:00	0.78	2.00	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/14 18:25:00	0.86	1.50	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/14 18:30:00	0.86	1.50	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/14 18:35:00	0.83	1.71	0.000
(116.4457174, 39.90720551)	自东向西	2013/9/14 18:40:00	0.81	1.80	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/10 11:40:00	0.03	99.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/10 11:45:00	0.04	66.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/10 11:50:00	0.09	33.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/10 11:55:00	0.13	22.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/10 12:00:00	0.15	18.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/11 7:36:00	0.03	99.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/11 7:41:00	0.03	99.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/11 7:46:00	0.00	-1.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/11 7:51:00	0.00	-1.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/11 7:56:00	0.00	-1.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/15 15:20:00	0.28	9.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/15 15:25:00	0.00	-1.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/15 15:30:00	0.00	-1.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/15 15:35:00	0.00	-1.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/15 15:40:00	0.00	-1.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/14 19:02:00	0.08	36.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/14 19:07:00	0.22	12.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/14 19:12:00	0.08	36.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/14 19:17:00	0.00	-1.00	0.000
(116.4692916, 39.89164921)	自西向东	2013/9/14 19:22:00	0.00	-1.00	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/10 18:58:00	0.55	3.74	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/10 19:03:00	0.60	3.25	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/10 19:08:00	0.67	2.68	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/10 19:13:00	0.73	2.28	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/10 19:18:00	0.73	2.28	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/11 14:47:00	0.64	2.91	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/11 14:52:00	0.60	3.25	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/11 14:57:00	0.69	2.54	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/11 15:02:00	0.73	2.30	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/11 15:07:00	0.71	2.41	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/12 8:52:00	0.55	3.81	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/12 8:57:00	0.57	3.60	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/12 9:02:00	0.57	3.54	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/12 9:07:00	0.52	4.04	0.000
(116.4740038, 39.91408185)	自西向东	2013/9/12 9:12:00	0.55	3.81	0.000
(116.4475372, 39.90741754)	自东向西	2013/9/9 17:30:00	0.98	0.79	0.000
(116.4475372, 39.90741754)	自东向西	2013/9/9 17:35:00	0.98	0.79	0.000
(116.4475372, 39.90741754)	自东向西	2013/9/9 17:40:00	0.99	0.70	0.000
(116.4475372, 39.90741754)	自东向西	2013/9/9 17:45:00	0.98	0.75	0.000
(116.4475372, 39.90741754)	自东向西	2013/9/9 17:50:00	0.98	0.77	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/10 15:20:00	0.14	19.80	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/10 15:25:00	0.19	14.14	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/10 15:30:00	0.18	15.23	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/10 15:35:00	0.15	18.00	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/10 15:40:00	0.17	16.50	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/11 9:40:00	0.18	15.23	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/11 9:45:00	0.10	28.29	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/11 9:50:00	0.14	19.80	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/11 9:55:00	0.20	13.20	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/11 10:00:00	0.15	18.00	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/12 8:26:00	0.06	49.50	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/12 8:31:00	0.06	49.50	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/12 8:36:00	0.07	39.60	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/12 8:41:00	0.07	39.60	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/12 8:46:00	0.07	39.60	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/15 18:20:00	0.00	-1.00	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/15 18:25:00	0.00	-1.00	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/15 18:30:00	0.00	-1.00	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/15 18:35:00	0.00	-1.00	0.000
(116.4792503, 39.89226906)	自西向东	2013/9/15 18:40:00	0.00	-1.00	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/10 14:25:00	0.59	3.36	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/10 14:30:00	0.57	3.54	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/10 14:35:00	0.58	3.47	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/10 14:40:00	0.57	3.60	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/10 14:45:00	0.58	3.47	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/11 8:50:00	0.20	13.20	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/11 8:55:00	0.32	7.92	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/11 9:00:00	0.39	6.00	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/11 9:05:00	0.36	6.83	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/11 9:10:00	0.39	6.00	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/15 17:15:00	0.28	9.00	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/15 17:20:00	0.00	-1.00	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/15 17:25:00	0.00	-1.00	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/15 17:30:00	0.63	3.00	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/15 17:35:00	0.74	2.25	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/14 20:20:00	0.49	4.50	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/14 20:25:00	0.49	4.50	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/14 20:30:00	0.76	2.12	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/14 20:35:00	0.78	2.00	0.000
(116.4640106, 39.89203014)	自西向东	2013/9/14 20:40:00	0.63	3.00	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/10 10:50:00	0.87	1.46	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/10 10:55:00	0.85	1.56	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/10 11:00:00	0.89	1.34	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/10 11:05:00	0.89	1.35	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/10 11:10:00	0.92	1.20	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/10 15:50:00	0.89	1.37	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/10 15:55:00	0.85	1.57	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/10 16:00:00	0.88	1.39	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/10 16:05:00	0.88	1.39	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/10 16:10:00	0.86	1.53	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 8:20:00	0.72	2.33	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 8:25:00	0.72	2.36	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 8:30:00	0.75	2.18	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 8:35:00	0.77	2.04	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 8:40:00	0.78	1.98	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 11:20:00	0.89	1.37	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 11:25:00	0.92	1.19	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 11:30:00	0.92	1.18	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 11:35:00	0.90	1.32	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 11:40:00	0.88	1.39	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 15:13:00	0.82	1.77	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 15:18:00	0.86	1.50	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 15:23:00	0.89	1.37	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 15:28:00	0.87	1.46	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/11 15:33:00	0.84	1.61	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/12 12:35:00	0.92	1.19	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/12 12:40:00	0.94	1.04	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/12 12:45:00	0.91	1.25	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/12 12:50:00	0.90	1.28	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/12 12:55:00	0.90	1.32	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/14 10:21:00	0.88	1.44	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/14 10:26:00	0.89	1.33	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/14 10:31:00	0.90	1.29	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/14 10:36:00	0.88	1.44	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/14 10:41:00	0.84	1.64	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/15 8:37:00	0.00	-1.00	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/15 8:42:00	0.49	4.50	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/15 8:47:00	0.63	3.00	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/15 8:52:00	0.28	9.00	0.000
(116.4097573, 39.89141743)	自西向东	2013/9/15 8:57:00	0.28	9.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/10 12:25:00	0.17	16.50	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/10 12:30:00	0.15	18.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/10 12:35:00	0.14	19.80	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/10 12:40:00	0.18	15.23	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/10 12:45:00	0.14	19.80	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/11 8:12:00	0.13	22.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/11 8:17:00	0.10	28.29	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/11 8:22:00	0.03	99.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/11 8:27:00	0.04	66.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/11 8:32:00	0.07	39.60	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/12 7:40:00	0.06	49.50	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/12 7:45:00	0.03	99.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/12 7:50:00	0.04	66.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/12 7:55:00	0.07	39.60	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/12 8:00:00	0.11	24.75	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/15 16:30:00	0.00	-1.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/15 16:35:00	0.00	-1.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/15 16:40:00	0.00	-1.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/15 16:45:00	0.00	-1.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/15 16:50:00	0.00	-1.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/14 19:45:00	0.39	6.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/14 19:50:00	0.22	12.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/14 19:55:00	0.15	18.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/14 20:00:00	0.22	12.00	0.000
(116.4750168, 39.89205932)	自西向东	2013/9/14 20:05:00	0.28	9.00	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/10 14:10:00	0.83	1.68	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/10 14:15:00	0.84	1.66	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/10 14:20:00	0.81	1.80	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/10 14:25:00	0.80	1.87	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/10 14:30:00	0.86	1.53	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/10 17:40:00	0.84	1.66	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/10 17:45:00	0.83	1.68	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/10 17:50:00	0.80	1.89	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/10 17:55:00	0.72	2.39	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/10 18:00:00	0.71	2.41	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 9:00:00	0.81	1.80	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 9:05:00	0.78	2.00	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 9:10:00	0.75	2.18	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 9:15:00	0.73	2.28	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 9:20:00	0.69	2.54	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 13:40:00	0.83	1.69	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 13:45:00	0.86	1.52	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 13:50:00	0.90	1.28	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 13:55:00	0.90	1.28	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 14:00:00	0.86	1.51	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 16:00:00	0.90	1.31	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 16:05:00	0.90	1.29	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 16:10:00	0.89	1.35	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 16:15:00	0.89	1.34	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/11 16:20:00	0.84	1.62	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/12 9:50:00	0.80	1.87	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/12 9:55:00	0.80	1.89	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/12 10:00:00	0.79	1.92	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/12 10:05:00	0.79	1.90	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/12 10:10:00	0.83	1.68	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/14 11:08:00	0.98	0.77	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/14 11:13:00	0.98	0.75	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/14 11:18:00	0.98	0.72	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/14 11:23:00	0.99	0.71	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/14 11:28:00	0.96	0.92	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/15 9:21:00	0.28	9.00	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/15 9:26:00	0.63	3.00	0.000
(116.4037163, 39.89166656)	自西向东	2013/9/15 9:31:00	0.74	2.25	0.000
